source_id,ocel timestamp,ocel activity,weight_y,price_y,numbers,orders,customers,number
67.0,2019-05-22 10:17:48,pick item,0.28,89.99,,['990006'],,['Christina Rensinghof']
68.0,2019-05-22 10:21:25,confirm order,1.919,1646.99,,['990017'],,['Junxiong Gao']
69.0,2019-05-22 10:22:31,item out of stock,0.38,29.99,,['990014'],,['Christine Dobbert']
70.0,2019-05-22 10:33:18,place order,1.97,823.98,,['990018'],,['Christine Dobbert']
71.0,2019-05-22 10:34:00,confirm order,3.755,1428.97,,['990008'],,['Majid Rafiei']
72.0,2019-05-22 10:52:34,pick item,0.483,495.0,,['990014'],,['Christine Dobbert']
73.0,2019-05-22 11:00:23,pick item,0.44,476.0,,['990012'],,['Gyunam Park']
74.0,2019-05-22 11:06:36,pick item,0.483,495.0,,['990017'],,['Junxiong Gao']
75.0,2019-05-22 11:13:31,pick item,0.98,129.99,,['990014'],,['Christine Dobbert']
76.0,2019-05-22 11:14:47,item out of stock,0.483,495.0,,['990016'],,['Christina Rensinghof']
77.0,2019-05-22 11:18:26,pick item,0.483,1099.0,,['990005'],,['Seran Uysal']
78.0,2019-05-22 11:34:42,pick item,0.495,129.0,,['990017'],,['Junxiong Gao']
79.0,2019-05-22 11:36:46,pick item,0.172,699.0,,['990012'],,['Gyunam Park']
80.0,2019-05-22 11:39:24,item out of stock,0.21,529.0,,['990018'],,['Christine Dobbert']
81.0,2019-05-22 11:45:06,pick item,0.2,39.99,,['990016'],,['Christina Rensinghof']
82.0,2019-05-22 11:47:12,pick item,0.98,129.99,,['990012'],,['Gyunam Park']
83.0,2019-05-22 12:26:23,place order,0.446,893.99,,['990019'],,['Majid Rafiei']
84.0,2019-05-22 12:40:14,confirm order,4.095,5989.98,,['990015'],,['Luis Santos']
85.0,2019-05-22 13:31:24,pay order,3.755,1428.97,,['990008'],,['Majid Rafiei']
86.0,2019-05-22 13:53:26,pick item,0.28,89.99,,['990018'],,['Christine Dobbert']
87.0,2019-05-22 14:12:34,place order,3.48,4534.99,,['990020'],,['Kefang Ding']
88.0,2019-05-22 14:18:39,pick item,0.172,699.0,,['990011'],,['Gyunam Park']
89.0,2019-05-22 14:29:53,reorder item,0.38,29.99,,['990014'],,['Christine Dobbert']
90.0,2019-05-22 14:44:07,confirm order,1.97,823.98,,['990018'],,['Christine Dobbert']
91.0,2019-05-22 14:47:40,pay order,2.656,3255.99,,['990002'],,['Gyunam Park']
92.0,2019-05-22 15:24:59,pick item,0.44,476.0,,['990005'],,['Seran Uysal']
93.0,2019-05-22 15:42:38,confirm order,0.446,893.99,,['990019'],,['Majid Rafiei']
94.0,2019-05-22 15:44:52,reorder item,0.483,495.0,,['990016'],,['Christina Rensinghof']
95.0,2019-05-22 15:44:55,place order,2.651,2535.99,,['990021'],,['Mohammadreza Fani Sani']
96.0,2019-05-22 16:07:56,pick item,0.28,89.99,,['990013'],,['Gyunam Park']
97.0,2019-05-22 16:14:21,pick item,0.495,129.0,,['990017'],,['Junxiong Gao']
98.0,2019-05-22 16:52:23,reorder item,0.44,476.0,,['990003'],,['Majid Rafiei']
99.0,2019-05-22 16:54:39,pick item,1.25,2200.0,,['990015'],,['Luis Santos']
100.0,2019-05-22 17:13:56,pick item,0.44,476.0,,['990008'],,['Majid Rafiei']
101.0,2019-05-22 17:19:25,pick item,0.21,529.0,,['990016'],,['Christina Rensinghof']
102.0,2019-05-22 17:33:36,reorder item,0.495,129.0,,['990010'],,['Wil van der Aalst']
103.0,2019-05-22 17:38:56,pick item,1.37,2500.0,,['990014'],,['Christine Dobbert']
104.0,2019-05-22 17:49:37,place order,3.102,3802.99,,['990022'],,['Tobias Brockhoff']
105.0,2019-05-22 20:08:26,place order,2.76,354.98,,['990023'],,['Tobias Brockhoff']
106.0,2019-05-22 22:56:27,place order,2.432,983.98,,['990024'],,['Anahita Farhang Ghahfarokhi']
107.0,2019-05-23 08:42:25,pick item,0.166,799.0,,['990019'],,['Majid Rafiei']
108.0,2019-05-23 08:44:21,pick item,0.166,799.0,,['990017'],,['Junxiong Gao']
109.0,2019-05-23 09:09:23,confirm order,3.696,3239.97,,['990014'],,['Christine Dobbert']
110.0,2019-05-23 09:26:37,item out of stock,0.188,1149.0,,['990016'],,['Christina Rensinghof']
111.0,2019-05-23 09:44:29,place order,5.172999999999999,3773.96,,['990025'],,['Marco Pegoraro']
112.0,2019-05-23 10:03:08,pick item,0.172,699.0,,['990022'],,['Tobias Brockhoff']
113.0,2019-05-23 10:19:26,item out of stock,0.495,129.0,,['990012'],,['Gyunam Park']
114.0,2019-05-23 10:27:00,reorder item,0.495,129.0,,['990012'],,['Gyunam Park']
115.0,2019-05-23 10:29:24,item out of stock,1.28,149.99,,['990023'],,['Tobias Brockhoff']
116.0,2019-05-23 10:40:50,item out of stock,0.98,129.99,,['990001'],,['Marco Pegoraro']
117.0,2019-05-23 10:45:43,pick item,0.21,529.0,,['990011'],,['Gyunam Park']
118.0,2019-05-23 10:52:26,pick item,0.483,1099.0,,['990025'],,['Marco Pegoraro']
119.0,2019-05-23 10:53:08,pick item,0.483,79.99,,['990015'],,['Luis Santos']
120.0,2019-05-23 11:00:25,pick item,0.78,99.99,,['990001'],,['Marco Pegoraro']
121.0,2019-05-23 11:00:25,create package,7.211,8169.95,['660001'],"['990011', '990002', '990013', '990012', '990009']",,['Gyunam Park']
122.0,2019-05-23 11:07:19,item out of stock,0.28,449.0,,['990022'],,['Tobias Brockhoff']
123.0,2019-05-23 11:08:24,item out of stock,0.44,476.0,,['990015'],,['Luis Santos']
124.0,2019-05-23 11:23:05,confirm order,3.102,3802.99,,['990022'],,['Tobias Brockhoff']
125.0,2019-05-23 11:27:55,pay order,3.52,524.96,,['990001'],,['Marco Pegoraro']
126.0,2019-05-23 11:48:45,place order,2.583,2729.98,,['990026'],,['Junxiong Gao']
127.0,2019-05-23 11:55:58,pick item,0.88,89.99,,['990026'],,['Junxiong Gao']
128.0,2019-05-23 11:57:31,pick item,0.98,129.99,,['990024'],,['Anahita Farhang Ghahfarokhi']
129.0,2019-05-23 11:58:56,confirm order,1.081,2217.99,,['990016'],,['Christina Rensinghof']
130.0,2019-05-23 12:09:19,reorder item,0.188,1149.0,,['990013'],,['Gyunam Park']
131.0,2019-05-23 12:13:24,reorder item,0.28,449.0,,['990022'],,['Tobias Brockhoff']
132.0,2019-05-23 12:15:16,pick item,1.48,199.99,,['990025'],,['Marco Pegoraro']
133.0,2019-05-23 12:33:06,reorder item,0.44,476.0,,['990015'],,['Luis Santos']
134.0,2019-05-23 12:53:00,pick item,0.483,79.99,,['990014'],,['Christine Dobbert']
135.0,2019-05-23 12:55:00,confirm order,2.432,983.98,,['990024'],,['Anahita Farhang Ghahfarokhi']
136.0,2019-05-23 13:04:43,confirm order,3.48,4534.99,,['990020'],,['Kefang Ding']
137.0,2019-05-23 13:32:53,pick item,0.98,129.99,,['990020'],,['Kefang Ding']
138.0,2019-05-23 13:39:57,pick item,0.28,89.99,,['990011'],,['Gyunam Park']
139.0,2019-05-23 13:57:18,place order,1.263,184.98,,['990027'],,['Christine Dobbert']
140.0,2019-05-23 14:22:59,send package,7.211,8169.95,['660001'],"['990011', '990002', '990013', '990012', '990009']",,['Gyunam Park']
141.0,2019-05-23 14:24:31,pay order,1.942,1472.98,,['990011'],,['Gyunam Park']
142.0,2019-05-23 14:48:41,failed delivery,7.211,8169.95,['660001'],"['990011', '990002', '990013', '990012', '990009']",,['Gyunam Park']
143.0,2019-05-23 14:49:52,pick item,0.495,129.0,,['990026'],,['Junxiong Gao']
144.0,2019-05-23 14:58:15,pick item,0.483,79.99,,['990027'],,['Christine Dobbert']
145.0,2019-05-23 15:00:45,pick item,1.25,2200.0,,['990025'],,['Marco Pegoraro']
146.0,2019-05-23 15:19:51,pay order,1.97,823.98,,['990018'],,['Christine Dobbert']
147.0,2019-05-23 15:28:01,reorder item,0.21,529.0,,['990018'],,['Christine Dobbert']
148.0,2019-05-23 15:34:32,pick item,0.483,495.0,,['990016'],,['Christina Rensinghof']
149.0,2019-05-23 15:38:19,item out of stock,1.28,149.99,,['990024'],,['Anahita Farhang Ghahfarokhi']
150.0,2019-05-23 16:07:14,pick item,0.98,129.99,,['990009'],,['Gyunam Park']
151.0,2019-05-23 16:07:36,item out of stock,1.25,2200.0,,['990020'],,['Kefang Ding']
152.0,2019-05-23 16:14:23,place order,0.973,1062.99,,['990028'],,['Majid Rafiei']
153.0,2019-05-23 16:16:20,pick item,0.28,89.99,,['990019'],,['Majid Rafiei']
154.0,2019-05-23 16:27:55,confirm order,1.263,184.98,,['990027'],,['Christine Dobbert']
155.0,2019-05-23 16:36:27,pick item,0.172,699.0,,['990026'],,['Junxiong Gao']
156.0,2019-05-23 16:46:01,pick item,1.48,199.99,,['990018'],,['Christine Dobbert']
157.0,2019-05-23 16:56:29,reorder item,1.28,149.99,,['990024'],,['Anahita Farhang Ghahfarokhi']
158.0,2019-05-23 17:01:33,pick item,0.188,1149.0,,['990021'],,['Mohammadreza Fani Sani']
159.0,2019-05-23 17:26:26,pick item,0.483,495.0,,['990012'],,['Gyunam Park']
160.0,2019-05-23 17:26:26,create package,4.273,3688.97,['660002'],"['990025', '990001']",,['Marco Pegoraro']
161.0,2019-05-23 17:43:12,send package,4.273,3688.97,['660002'],"['990025', '990001']",,['Marco Pegoraro']
162.0,2019-05-23 17:48:34,place order,0.634,2042.99,,['990029'],,['Mahnaz Qafari']
163.0,2019-05-23 18:54:48,reorder item,0.495,129.0,,['990009'],,['Gyunam Park']
164.0,2019-05-23 19:14:00,package delivered,7.211,8169.95,['660001'],"['990011', '990002', '990013', '990012', '990009']",,['Gyunam Park']
165.0,2019-05-23 19:15:44,pick item,0.78,99.99,,['990025'],,['Marco Pegoraro']
166.0,2019-05-23 20:05:16,place order,3.86,940.96,,['990030'],,['Wil van der Aalst']
167.0,2019-05-23 22:00:00,confirm order,2.651,2535.99,,['990021'],,['Mohammadreza Fani Sani']
168.0,2019-05-23 22:50:07,place order,0.38,34.99,,['990031'],,['Tobias Brockhoff']
169.0,2019-05-24 08:27:33,confirm order,0.973,1062.99,,['990028'],,['Majid Rafiei']
170.0,2019-05-24 09:21:25,reorder item,1.25,2200.0,,['990020'],,['Kefang Ding']
171.0,2019-05-24 09:31:49,place order,2.329,1768.98,,['990032'],,['Kefang Ding']
172.0,2019-05-24 09:32:57,pick item,0.44,476.0,,['990030'],,['Wil van der Aalst']
173.0,2019-05-24 09:35:41,confirm order,3.86,940.96,,['990030'],,['Wil van der Aalst']
174.0,2019-05-24 09:37:42,pay order,3.696,3239.97,,['990014'],,['Christine Dobbert']
175.0,2019-05-24 09:41:01,pick item,0.21,529.0,,['990021'],,['Mohammadreza Fani Sani']
176.0,2019-05-24 10:09:07,pick item,0.172,699.0,,['990024'],,['Anahita Farhang Ghahfarokhi']
177.0,2019-05-24 10:49:32,pick item,0.28,89.99,,['990017'],,['Junxiong Gao']
178.0,2019-05-24 10:49:32,create package,7.401,3148.95,['660003'],"['990007', '990026', '990004', '990017']",,['Junxiong Gao']
179.0,2019-05-24 10:55:36,item out of stock,0.28,449.0,,['990026'],,['Junxiong Gao']
180.0,2019-05-24 11:05:13,pick item,1.48,199.99,,['990023'],,['Tobias Brockhoff']
181.0,2019-05-24 11:23:25,place order,1.422,2904.0,,['990033'],,['Wil van der Aalst']
182.0,2019-05-24 11:38:57,pick item,0.172,699.0,,['990033'],,['Wil van der Aalst']
183.0,2019-05-24 11:59:26,confirm order,1.422,2904.0,,['990033'],,['Wil van der Aalst']
184.0,2019-05-24 12:01:37,reorder item,1.48,199.99,,['990013'],,['Gyunam Park']
185.0,2019-05-24 12:12:36,item out of stock,0.188,1149.0,,['990029'],,['Mahnaz Qafari']
186.0,2019-05-24 12:33:21,item out of stock,0.2,39.99,,['990025'],,['Marco Pegoraro']
187.0,2019-05-24 12:33:34,confirm order,0.38,34.99,,['990031'],,['Tobias Brockhoff']
188.0,2019-05-24 12:41:02,pick item,1.25,2200.0,,['990033'],,['Wil van der Aalst']
189.0,2019-05-24 13:02:38,pick item,0.166,799.0,,['990026'],,['Junxiong Gao']
190.0,2019-05-24 13:06:38,place order,3.011,4052.98,,['990034'],,['Mohammadreza Fani Sani']
191.0,2019-05-24 13:23:15,pick item,1.28,149.99,,['990022'],,['Tobias Brockhoff']
192.0,2019-05-24 13:40:11,confirm order,2.329,1768.98,,['990032'],,['Kefang Ding']
193.0,2019-05-24 13:58:11,pick item,0.88,89.99,,['990032'],,['Kefang Ding']
194.0,2019-05-24 13:58:15,pick item,0.28,449.0,,['990028'],,['Majid Rafiei']
195.0,2019-05-24 14:07:48,pick item,0.21,529.0,,['990018'],,['Christine Dobbert']
196.0,2019-05-24 14:22:07,pick item,1.25,2200.0,,['990020'],,['Kefang Ding']
197.0,2019-05-24 14:33:03,place order,3.523,1902.98,,['990035'],,['Claudia Graf']
198.0,2019-05-24 14:39:58,item out of stock,0.483,495.0,,['990021'],,['Mohammadreza Fani Sani']
199.0,2019-05-24 14:54:46,pick item,1.28,149.99,,['990030'],,['Wil van der Aalst']
200.0,2019-05-24 14:55:25,confirm order,2.76,354.98,,['990023'],,['Tobias Brockhoff']
201.0,2019-05-24 15:17:53,item out of stock,0.98,129.99,,['990030'],,['Wil van der Aalst']
202.0,2019-05-24 15:37:55,pick item,0.21,529.0,,['990034'],,['Mohammadreza Fani Sani']
203.0,2019-05-24 15:49:44,pick item,0.44,476.0,,['990015'],,['Luis Santos']
204.0,2019-05-24 15:49:44,create package,4.755,4659.96,['660004'],"['990028', '990019', '990003', '990008']",,['Majid Rafiei']
205.0,2019-05-24 15:52:26,item out of stock,1.25,2200.0,,['990034'],,['Mohammadreza Fani Sani']
206.0,2019-05-24 15:54:44,package delivered,4.273,3688.97,['660002'],"['990025', '990001']",,['Marco Pegoraro']
207.0,2019-05-24 15:56:27,reorder item,0.2,39.99,,['990025'],,['Marco Pegoraro']
208.0,2019-05-24 15:56:31,reorder item,0.28,449.0,,['990026'],,['Junxiong Gao']
209.0,2019-05-24 16:25:54,place order,2.969,1639.96,,['990036'],,['Gyunam Park']
210.0,2019-05-24 16:32:09,confirm order,2.583,2729.98,,['990026'],,['Junxiong Gao']
211.0,2019-05-24 16:43:54,item out of stock,0.483,79.99,,['990032'],,['Kefang Ding']
212.0,2019-05-24 17:01:23,confirm order,5.172999999999999,3773.96,,['990025'],,['Marco Pegoraro']
213.0,2019-05-24 17:07:14,pay order,1.422,2904.0,,['990033'],,['Wil van der Aalst']
214.0,2019-05-24 17:21:57,confirm order,3.011,4052.98,,['990034'],,['Mohammadreza Fani Sani']
215.0,2019-05-24 17:25:09,pick item,0.38,29.99,,['990026'],,['Junxiong Gao']
216.0,2019-05-24 17:26:40,pick item,0.44,476.0,,['990003'],,['Majid Rafiei']
217.0,2019-05-24 17:39:53,pick item,0.21,529.0,,['990026'],,['Junxiong Gao']
218.0,2019-05-24 17:48:27,reorder item,0.483,495.0,,['990021'],,['Mohammadreza Fani Sani']
219.0,2019-05-24 18:11:35,place order,1.37,2505.0,,['990037'],,['Mahsa Bafrani']
220.0,2019-05-24 18:15:43,pick item,0.483,79.99,,['990028'],,['Majid Rafiei']
221.0,2019-05-24 18:41:54,pick item,0.44,476.0,,['990036'],,['Gyunam Park']
222.0,2019-05-24 20:04:02,confirm order,1.37,2505.0,,['990037'],,['Mahsa Bafrani']
223.0,2019-05-24 20:14:20,place order,0.2,44.99,,['990038'],,['Christine Dobbert']
224.0,2019-05-24 20:19:52,confirm order,2.969,1639.96,,['990036'],,['Gyunam Park']
225.0,2019-05-24 22:21:22,item out of stock,0.28,449.0,,['990035'],,['Claudia Graf']
226.0,2019-05-24 23:08:15,place order,1.28,154.99,,['990039'],,['Kefang Ding']
227.0,2019-05-25 01:00:00,create package,2.325,1982.97,['660005'],"['990016', '990006']",,['Christina Rensinghof']
228.0,2019-05-25 21:24:33,place order,0.6829999999999999,539.99,,['990040'],,['Tobias Brockhoff']
229.0,2019-05-26 21:36:54,place order,2.724,2836.97,,['990041'],,['Anahita Farhang Ghahfarokhi']
230.0,2019-05-27 08:38:54,confirm order,1.28,154.99,,['990039'],,['Kefang Ding']
231.0,2019-05-27 08:50:47,pick item,0.166,799.0,,['990036'],,['Gyunam Park']
232.0,2019-05-27 08:56:35,reorder item,0.28,449.0,,['990035'],,['Claudia Graf']
233.0,2019-05-27 09:22:27,pay order,2.76,354.98,,['990023'],,['Tobias Brockhoff']
234.0,2019-05-27 09:30:58,place order,5.922999999999999,6397.98,,['990042'],,['Seran Uysal']
235.0,2019-05-27 09:35:00,reorder item,0.495,129.0,,['990012'],,['Gyunam Park']
236.0,2019-05-27 09:35:18,pick item,0.2,39.99,,['990038'],,['Christine Dobbert']
237.0,2019-05-27 09:46:50,pick item,0.483,495.0,,['990042'],,['Seran Uysal']
238.0,2019-05-27 09:50:01,send package,4.755,4659.96,['660004'],"['990028', '990019', '990003', '990008']",,['Majid Rafiei']
239.0,2019-05-27 09:53:59,pick item,0.38,29.99,,['990007'],,['Junxiong Gao']
240.0,2019-05-27 09:58:28,pick item,1.25,2200.0,,['990042'],,['Seran Uysal']
241.0,2019-05-27 10:09:08,item out of stock,0.483,1099.0,,['990032'],,['Kefang Ding']
242.0,2019-05-27 10:17:35,reorder item,0.98,129.99,,['990030'],,['Wil van der Aalst']
243.0,2019-05-27 10:25:30,pick item,0.495,129.0,,['990021'],,['Mohammadreza Fani Sani']
244.0,2019-05-27 10:29:17,pick item,0.28,89.99,,['990030'],,['Wil van der Aalst']
245.0,2019-05-27 10:33:28,pick item,0.28,89.99,,['990008'],,['Majid Rafiei']
246.0,2019-05-27 10:40:13,send package,7.401,3148.95,['660003'],"['990007', '990026', '990004', '990017']",,['Junxiong Gao']
247.0,2019-05-27 10:52:57,pick item,0.166,799.0,,['990029'],,['Mahnaz Qafari']
248.0,2019-05-27 11:03:53,item out of stock,0.78,99.99,,['990042'],,['Seran Uysal']
249.0,2019-05-27 11:16:53,pick item,0.483,79.99,,['990034'],,['Mohammadreza Fani Sani']
250.0,2019-05-27 11:20:54,pick item,1.37,2500.0,,['990042'],,['Seran Uysal']
251.0,2019-05-27 11:21:43,place order,3.235,443.97,,['990043'],,['Wil van der Aalst']
252.0,2019-05-27 11:36:36,reorder item,0.188,1149.0,,['990016'],,['Christina Rensinghof']
253.0,2019-05-27 11:49:13,pick item,0.88,89.99,,['990030'],,['Wil van der Aalst']
254.0,2019-05-27 11:49:13,create package,4.785,3784.96,['660006'],"['990033', '990010', '990030']",,['Wil van der Aalst']
255.0,2019-05-27 12:03:03,confirm order,2.724,2836.97,,['990041'],,['Anahita Farhang Ghahfarokhi']
256.0,2019-05-27 12:19:36,pay order,2.651,2535.99,,['990021'],,['Mohammadreza Fani Sani']
257.0,2019-05-27 12:21:13,pick item,0.495,129.0,,['990021'],,['Mohammadreza Fani Sani']
258.0,2019-05-27 12:21:51,pick item,1.28,149.99,,['990035'],,['Claudia Graf']
259.0,2019-05-27 12:39:25,package delivered,4.755,4659.96,['660004'],"['990028', '990019', '990003', '990008']",,['Majid Rafiei']
260.0,2019-05-27 13:03:14,place order,5.5360000000000005,5738.97,,['990044'],,['Luis Santos']
261.0,2019-05-27 13:12:53,pick item,0.88,89.99,,['990034'],,['Mohammadreza Fani Sani']
262.0,2019-05-27 13:34:25,reorder item,0.78,99.99,,['990042'],,['Seran Uysal']
263.0,2019-05-27 13:40:28,pick item,0.21,529.0,,['990041'],,['Anahita Farhang Ghahfarokhi']
264.0,2019-05-27 14:01:57,pick item,0.483,495.0,,['990013'],,['Gyunam Park']
265.0,2019-05-27 14:14:58,pick item,0.38,29.99,,['990031'],,['Tobias Brockhoff']
266.0,2019-05-27 14:16:09,confirm order,0.6829999999999999,539.99,,['990040'],,['Tobias Brockhoff']
267.0,2019-05-27 14:26:15,place order,2.932,1053.98,,['990045'],,['Mohammadreza Fani Sani']
268.0,2019-05-27 14:35:23,item out of stock,0.21,529.0,,['990028'],,['Majid Rafiei']
269.0,2019-05-27 14:56:21,failed delivery,7.401,3148.95,['660003'],"['990007', '990026', '990004', '990017']",,['Junxiong Gao']
270.0,2019-05-27 15:09:10,item out of stock,1.28,149.99,,['990039'],,['Kefang Ding']
271.0,2019-05-27 15:11:01,pick item,0.188,1149.0,,['990016'],,['Christina Rensinghof']
272.0,2019-05-27 15:11:01,create package,2.345,3454.99,['660007'],['990015'],,['Luis Santos']
273.0,2019-05-27 15:19:06,pick item,0.483,495.0,,['990041'],,['Anahita Farhang Ghahfarokhi']
274.0,2019-05-27 15:25:40,pick item,1.25,2200.0,,['990044'],,['Luis Santos']
275.0,2019-05-27 15:29:21,pick item,0.28,449.0,,['990022'],,['Tobias Brockhoff']
276.0,2019-05-27 16:12:18,place order,1.743,1223.98,,['990046'],,['Gyunam Park']
277.0,2019-05-27 16:13:44,reorder item,0.21,529.0,,['990028'],,['Majid Rafiei']
278.0,2019-05-27 16:26:44,pick item,0.28,89.99,,['990029'],,['Mahnaz Qafari']
279.0,2019-05-27 16:26:44,create package,5.968999999999999,4143.94,['660008'],"['990018', '990038', '990014', '990027']",,['Christine Dobbert']
280.0,2019-05-27 16:28:55,pick item,0.98,129.99,,['990043'],,['Wil van der Aalst']
281.0,2019-05-27 16:50:41,confirm order,2.932,1053.98,,['990045'],,['Mohammadreza Fani Sani']
282.0,2019-05-27 17:00:36,pick item,0.483,495.0,,['990021'],,['Mohammadreza Fani Sani']
